                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9205,                 4.5259,                 1.8596,                0.00167,                0.66667,                0.00243,                0.00057,                 1.6215,                  5.205,                 1.8851,                0.00012,                0.00012,                0.00012
                      2,                 1.8189,                 5.8398,                 1.6933,                 0.0569,                0.33333,                0.07855,                0.02705,                 1.6207,                 10.704,                 1.8623,             0.00025357,             0.00025357,             0.00025357
                      3,                 1.7535,                 3.6837,                 1.7451,                0.38989,                0.33333,                0.36909,                0.31689,                 1.5023,                 5.0737,                 1.5405,              0.0003802,              0.0003802,              0.0003802
                      4,                 1.5483,                 3.0181,                 1.5991,                0.00663,                0.66667,                0.00607,                 0.0037,                 1.7702,                 78.358,                 1.8021,             0.00049991,             0.00049991,             0.00049991
                      5,                 1.6046,                 4.0267,                 1.5583,                0.04004,                0.33333,                0.11255,                0.08974,                 2.0842,                 5.5105,                 2.3969,             0.00061268,             0.00061268,             0.00061268
                      6,                 1.5105,                 3.0847,                 1.4345,                0.01313,                0.33333,                0.02471,                0.02085,                 2.0048,                 36.413,                 2.3788,             0.00071852,             0.00071852,             0.00071852
                      7,                 1.7519,                 3.7989,                 1.7451,                0.01313,                0.33333,                0.02471,                0.02085,                 2.0048,                 36.413,                 2.3788,             0.00081744,             0.00081744,             0.00081744
                      8,                 1.7716,                 2.5825,                 1.6769,                    0.2,                0.66667,                0.44615,                0.29105,                 1.6882,                 71.394,                 1.8339,             0.00090943,             0.00090943,             0.00090943
                      9,                 1.6953,                 2.5678,                 1.6507,                    0.2,                0.66667,                0.44615,                0.29105,                 1.6867,                 889.54,                 1.9511,             0.00099448,             0.00099448,             0.00099448
                     10,                 1.8906,                  2.954,                 1.7544,                    0.2,                0.66667,                0.44615,                0.29105,                 1.6867,                 889.54,                 1.9511,              0.0010726,              0.0010726,              0.0010726
                     11,                 2.0237,                  2.855,                 2.0063,                0.04526,                      1,                0.04893,                0.02244,                 1.8229,                 28.242,                 2.3397,              0.0011438,              0.0011438,              0.0011438
                     12,                 1.8554,                  2.107,                 1.7261,                0.04526,                      1,                0.04893,                0.02244,                 1.8229,                 28.242,                 2.3397,              0.0012081,              0.0012081,              0.0012081
                     13,                 2.0884,                 2.4604,                 1.9277,                0.03476,                0.66667,                0.05444,                0.02609,                 2.2334,                  43.08,                 2.6787,              0.0012654,              0.0012654,              0.0012654
                     14,                 1.9749,                 2.2095,                 1.8419,                0.03476,                0.66667,                0.05444,                0.02609,                 2.2334,                  43.08,                 2.6787,              0.0013158,              0.0013158,              0.0013158
                     15,                   1.92,                 2.6176,                 1.8071,                0.00435,                0.66667,                0.00506,                0.00207,                 2.2018,                    inf,                 2.5201,               0.001307,               0.001307,               0.001307
                     16,                 1.8822,                  2.584,                 1.7259,                0.00435,                0.66667,                0.00506,                0.00207,                 2.2018,                    inf,                 2.5201,              0.0012575,              0.0012575,              0.0012575
                     17,                 2.0795,                 3.8185,                 2.1606,                0.00163,                0.33333,                0.00083,                0.00066,                  1.912,                    inf,                 1.9991,               0.001208,               0.001208,               0.001208
                     18,                  2.136,                 3.0457,                 1.8277,                0.00163,                0.33333,                0.00083,                0.00066,                  1.912,                    inf,                 1.9991,              0.0011585,              0.0011585,              0.0011585
                     19,                 2.2387,                 3.2926,                 1.9831,                0.00163,                0.33333,                0.00083,                0.00066,                  1.912,                    inf,                 1.9991,               0.001109,               0.001109,               0.001109
                     20,                 1.9339,                 2.7991,                 1.8318,                0.00083,                0.33333,                0.00062,                0.00012,                 3.1151,                    inf,                 10.101,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.8053,                 2.5718,                  1.635,                0.00083,                0.33333,                0.00062,                0.00012,                 3.1151,                    inf,                 10.101,                0.00101,                0.00101,                0.00101
                     22,                 1.8409,                 2.5754,                 1.7692,                0.00083,                0.33333,                0.00062,                0.00012,                 4.8271,                    inf,                 12.067,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.7225,                 2.1773,                 1.6788,                0.00083,                0.33333,                0.00062,                0.00012,                 4.8271,                    inf,                 12.067,               0.000911,               0.000911,               0.000911
